,station_name,Latitude,longitude,from06_to10,from10_to14,from14_to18,from18_to22,from22_to02,from02_to06
122,까치산,37.5320943,126.84649820000001,95235.25,49565.25,65838.75,89697.25,11239.0,5613.5
123,답십리,37.5668136,127.0526992,54725.0,25942.5,35742.0,45888.5,5053.5,2188.75
124,둔촌동,37.5278024,127.13624329999999,25783.5,15796.5,22789.5,23463.25,2357.25,1036.25
125,마곡,37.5602492,126.8247463,29557.0,15783.0,22131.75,24406.25,2469.5,773.75
126,마장,37.5660982,127.04288100000001,17900.75,11110.75,13978.5,14568.0,1699.5,675.25
127,마천,37.494953100000004,127.15272409999999,20222.5,11787.5,15010.75,15867.25,2099.75,1383.5
128,마포,37.5396369,126.94599290000001,46969.25,22856.25,31872.0,42306.5,3142.5,831.5
129,명일,37.55153964,127.1439496,25743.75,15943.75,20156.5,24724.75,2624.75,1124.0
130,목동,37.526124100000004,126.86451740000001,52770.5,30705.5,42082.5,55794.0,5880.5,1925.75
131,미사,37.56347047,127.1926295,43688.75,19511.25,27285.5,44148.75,6422.75,1148.75
132,발산,37.5584951,126.83746529999999,55564.5,33371.5,47848.25,51425.0,4012.75,1217.0
133,방이,37.5086429,127.1260388,21040.0,12465.25,17136.75,19772.25,2235.0,669.0
134,방화,37.5774043,126.81273200000001,21446.5,12965.5,15973.5,17617.0,2246.25,1052.75
135,상일동,37.556793,127.16694380000001,54211.25,23804.5,31905.75,43252.25,5515.0,1969.25
136,서대문,37.5657953,126.9666351,68965.5,27518.0,39356.25,49259.75,3371.75,876.5
137,송정,37.56129665,126.8113886,19797.5,13697.75,17498.75,17796.75,2271.75,1031.25
138,신금호,37.554429,127.02024850000001,19740.0,11594.25,15351.25,18042.75,1977.75,688.5
139,신길,37.5164582,126.9196723,14697.75,5467.0,8465.25,14127.25,1571.0,411.25
140,신정,37.52504129999999,126.8559699,50781.75,20074.5,26166.75,35244.75,4494.5,2780.75
141,아차산,37.5516981,127.08979550000001,42616.75,30478.75,38519.75,40653.5,4869.5,2129.5
142,애오개,37.553428000000004,126.9566976,22316.25,11437.0,15508.5,18655.25,1816.75,573.75
143,양평,37.5256329,126.88611759999999,28415.5,10427.5,15391.5,23526.0,2007.5,522.25
144,여의나루,37.5268526,126.9325288,27570.5,7807.0,18316.0,18612.75,1433.0,490.0
145,여의도,37.5216685,126.9243018,100293.5,30495.0,58839.5,72405.75,3339.25,980.25
146,영등포시장,37.5226934,126.9051415,29357.25,18618.25,25063.25,27123.5,2392.75,761.5
147,오목교,37.5245648,126.8751222,64474.5,43042.25,57788.0,70910.25,5532.25,1227.0
148,올림픽공원,37.51889315,127.12010490000002,11830.25,7895.25,10244.75,8938.5,983.5,349.0
149,우장산,37.54889429999999,126.8363227,42207.0,27650.75,34170.25,37501.75,4237.0,1469.25
150,장한평,37.561490899999995,127.06456659999999,64431.0,29178.75,41676.75,55378.75,5206.25,1594.5
151,천호,37.5385225,127.12340209999999,40926.75,40008.0,56642.25,57068.75,5403.25,1836.25
152,청구,37.560231099999996,127.01377759999998,11449.0,7241.25,9699.0,12084.25,1346.75,401.5
153,하남풍산,37.552642299999995,127.2041813,16664.75,8083.25,11156.0,15232.0,1651.25,431.0
154,행당,37.557606299999996,127.0299929,26514.25,13916.25,17768.25,21768.0,2351.75,989.75
155,화곡,37.54167279999999,126.840397,93627.75,47065.5,63182.75,84178.25,10259.25,5168.75
156,고려대,37.590141100000004,127.0362318,23325.25,13156.25,19079.75,21667.0,2981.75,872.0
157,광흥창,37.5474717,126.93196090000002,27258.25,14968.75,20163.75,24056.0,2408.25,867.0
158,구산,37.611186700000005,126.91735890000001,22868.25,13167.0,15873.75,16324.0,2079.0,1079.75
159,녹사평,37.534909899999995,126.9865733,11643.0,8459.5,12205.0,13467.25,1565.0,286.75
160,대흥,37.547699200000004,126.94234509999998,23009.0,15848.25,20150.5,21027.25,2766.5,621.0
161,독바위,37.6183872,126.9331625,9817.0,5698.0,6645.75,8832.25,1327.5,413.5
162,돌곶이,37.610566299999995,127.0564932,27628.25,16109.25,20150.5,23481.5,3166.0,1479.0
163,디지털미디어시티,37.5778969,126.9003014,54632.5,19662.25,29842.5,42063.75,4100.25,1879.0
164,마포구청,37.5635586,126.9033645,43217.0,24882.5,31873.0,39301.25,4906.5,1806.0
165,망원,37.556025399999996,126.9101277,35629.25,30857.75,41120.0,41173.5,5125.75,1298.5
166,버티고개,37.5479693,127.00693259999998,6496.5,4279.5,5784.5,6351.25,752.75,193.75
167,보문,37.58547,127.01941000000001,23238.25,12617.75,16746.0,20204.5,3003.25,976.0
168,봉화산,37.6174165,127.09109679999999,31448.25,14595.75,18632.0,24433.25,3188.25,1311.0
169,상수,37.547757700000005,126.9228923,17088.0,16066.75,21671.75,24598.75,2747.0,335.75
170,상월곡,37.606237899999996,127.04827220000001,20662.75,11102.0,13714.0,16256.75,2310.25,1186.0
171,새절,37.5926362,126.91399950000002,42670.25,22160.5,29212.25,36651.75,4857.25,2147.75
172,석계,37.6148083,127.0658393,39487.25,23001.0,30281.25,38376.25,4980.25,2325.5
173,신내,37.612638399999994,127.1033159,0.0,0.75,0.0,0.0,0.0,0.0
174,안암,37.5862688,127.0292777,23513.75,20932.25,27114.0,22646.25,3962.5,537.0
175,역촌,37.6060988,126.9227006,13609.0,7264.5,9555.5,12331.25,1609.25,440.0
176,월곡,37.60192,127.0414554,34638.75,20828.5,27599.75,32816.25,3838.25,1517.25
177,월드컵경기장,37.570178000000006,126.89931440000001,10128.25,11482.25,16985.25,10995.0,913.0,440.0
178,응암,37.5984296,126.9155283,56788.0,32061.5,42324.25,55182.25,6803.25,2723.75
179,이태원,37.5345026,126.9943705,20731.25,17821.0,26179.75,26512.5,3194.25,672.25
180,증산,37.584144099999996,126.9099118,32666.25,18464.25,24785.0,30971.0,4226.0,1839.0
181,창신,37.5798042,127.01524679999999,12145.25,5717.75,6999.0,8047.5,1086.5,582.25
182,태릉입구,37.6176924,127.0756723,16286.0,9925.25,13480.5,16936.75,2458.75,1080.25
183,한강진,37.5397964,127.00175060000001,21193.75,12479.25,18475.5,21316.75,1904.0,260.25
184,화랑대,37.619784100000004,127.0837122,38796.0,16119.75,20260.25,26875.0,3624.5,1386.25
185,효창공원앞,37.5393413,126.9613324,21435.75,12883.5,16775.5,18799.25,2025.25,635.0
186,가산디지털단지,37.4805925,126.8831165,180068.75,56048.75,97654.5,146328.25,7789.25,3359.25
187,강남구청,37.5171756,127.0412865,56571.25,29300.25,36859.0,51319.25,3917.5,654.5
188,공릉,37.6256358,127.07304369999999,34646.5,22714.75,29604.25,33669.25,4597.75,1618.25
189,광명사거리,37.479420700000006,126.8544598,73097.5,44143.25,60525.75,66378.5,7425.75,6399.5
190,굴포천,37.5070226,126.73133700000001,28593.5,14627.75,19709.0,29338.75,3843.75,1537.75
191,까치울,37.5062407,126.81138419999999,26136.0,11756.25,16466.25,23006.25,2733.5,1005.5
192,남구로,37.4853612,126.88666509999999,63947.75,24431.75,38309.75,51611.25,4748.0,5047.5
193,남성,37.484354499999995,126.9718936,36718.75,20611.75,26261.25,31862.5,4079.25,1399.75
194,내방,37.4876992,126.99367179999999,49547.75,24579.0,34467.5,42881.25,3641.0,857.75
195,논현,37.511100299999995,127.02146869999999,69563.75,34024.75,46971.75,64656.5,5540.75,794.0
196,도봉산,37.6890432,127.04614479999998,34873.25,19067.5,21482.75,30078.5,4563.25,1171.5
197,뚝섬유원지,37.5312584,127.0666031,22236.5,12743.5,18310.0,20857.25,2704.0,1062.75
198,마들,37.6644977,127.05788290000001,41223.75,22339.75,27177.5,34531.5,5100.25,2393.25
199,먹골,37.6114417,127.0776518,32253.0,19455.0,25213.25,31113.25,3983.5,1774.0
200,면목,37.5884004,127.0876041,52963.25,27827.5,37197.25,47594.5,5840.75,2987.25
201,반포,37.5081748,127.0116346,17656.5,11535.0,15399.0,15644.0,1381.0,283.0
202,보라매,37.4999284,126.9203764,33675.75,16133.0,22331.0,28760.0,2973.5,1601.75
203,부천시청,37.5047696,126.7631949,39003.75,21453.25,29735.25,38674.5,4316.75,1675.75
204,부천종합운동장,37.5054566,126.79728850000001,16380.75,7299.75,9235.25,12261.5,1346.75,927.5
205,부평구청,37.5079346,126.7205642,41898.0,14705.5,19774.25,32443.0,4692.25,2038.25
206,사가정,37.5806996,127.08847050000001,54278.0,32350.5,41531.0,50901.25,5953.0,2974.0
207,삼산체육관,37.506496000000006,126.74234750000001,16075.0,7166.0,9492.5,12889.5,1862.0,615.75
208,상도,37.503215999999995,126.9476726,31968.75,19920.25,26156.0,29626.25,4094.75,1311.5
209,상동,37.505835499999996,126.7531743,36412.0,22226.25,30830.5,38273.0,4949.75,1228.25
210,상봉,37.5970314,127.08565549999999,53889.0,29440.75,40985.5,52267.0,6061.5,2732.25
211,수락산,37.6783117,127.05535459999999,40999.5,25922.25,31471.25,37514.5,5211.0,2099.0
212,숭실대입구,37.4956862,126.9541334,35498.5,22949.0,30075.0,35357.5,4916.5,1391.5
213,신대방삼거리,37.499706,126.92822460000001,55049.5,28965.75,38306.75,50273.75,6060.5,2532.5
214,신중동,37.5030388,126.77623249999999,47176.75,23566.0,31815.25,43838.0,5067.25,1557.75
215,신풍,37.5001667,126.90887509999999,39356.25,19672.75,27222.0,33398.0,4023.25,2597.25
216,어린이대공원,37.54759979999999,127.0743915,35611.75,22441.25,31138.0,33060.5,5061.25,887.0
217,온수,37.492324200000006,126.8238416,39554.25,15131.0,20447.25,30975.0,3952.5,1979.5
218,용마산,37.573974799999995,127.0870382,21565.0,10583.75,13375.5,17802.25,2386.25,1270.0
219,이수,37.4853431,126.9821101,41889.25,28510.0,39941.0,46660.75,4781.0,1355.25
220,장승배기,37.505017200000005,126.93927930000001,31719.5,18802.75,24239.0,28189.25,3386.5,1744.0
221,장암,37.699974100000006,127.05290790000001,8982.0,2496.5,3054.5,2874.25,233.25,330.0
222,중계,37.645537299999994,127.0638733,48719.25,25176.75,29712.0,37716.5,5412.5,2332.75
223,중곡,37.5663055,127.08451550000001,33949.0,18892.5,24204.0,27871.5,3479.0,1328.25
224,중화,37.601626700000004,127.0795172,36976.75,20069.75,26640.75,33617.25,4273.5,2172.25
225,천왕,37.48636679999999,126.8389218,38475.75,17226.25,22831.75,31651.75,3649.75,1868.5
226,철산,37.476001200000006,126.8675973,68717.75,37065.0,51171.25,67298.0,7576.0,3144.25
